mapping_version	row_key_v1	manifest_ordinal	canonical_row_rank	canonical_dependency_rank	go_symbol	go_signature	family_contract_display_id	family_storage_id	wave	semantic_operation_id	dependency_tuple_hex	scalar_batch_display_id	scalar_batch_storage_id	api_transaction_display_id	api_transaction_storage_id	scalar_source	test_source	fuzz_source	benchmark_source
v1	rk-v1-8d5736e31439e82c6c3124a1eca6edf59cec453a5b7a9f32e9099960e8bca489	4	0	0	ValidateUTF16LE	func ValidateUTF16LE(input []uint16) bool	FC-v1-helper-validation	family-v1-92973bf401c179901da0be0973536be41700aa56a57924dd26368bfc7e539c35	1	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	38323a726b2d76312d38643537333665333134333965383263366333313234613165636136656466353963656334353361356237613966333265393039393936306538626361343839006e6f6e65006e6f6e650000	SB-v1-FC-v1-helper-validation-01	batch-v1-195fe8f6157a3ad9aa588de2beb4356c2783ce237692e27a30fc6f3ae9d50ce8	AP-v1-FC-v1-helper-validation	transaction-v1-c42466aae33658b2093d65ac366535b09a8b906454b2d1feaf6d3f4a873ef651	src/fallback/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf16le_to_latin1_tests_with_errors.cpp;tests/convert_utf16le_to_utf32_with_errors_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/special_tests.cpp;tests/to_well_formed_utf16_tests.cpp;tests/validate_utf16le_basic_tests.cpp;tests/validate_utf16le_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/misc.cpp;fuzz/roundtrip.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ValidateUTF16LE)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h
v1	rk-v1-ad34c01660ce58c1c164b0fd72c1d6d352a7b816edd39fb68c8d90ff2aaf90ce	5	1	1	ValidateUTF16BE	func ValidateUTF16BE(input []uint16) bool	FC-v1-helper-validation	family-v1-92973bf401c179901da0be0973536be41700aa56a57924dd26368bfc7e539c35	1	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	38323a726b2d76312d61643334633031363630636535386331633136346230666437326331643664333532613762383136656464333966623638633864393066663261616639306365006e6f6e65006e6f6e650000	SB-v1-FC-v1-helper-validation-01	batch-v1-195fe8f6157a3ad9aa588de2beb4356c2783ce237692e27a30fc6f3ae9d50ce8	AP-v1-FC-v1-helper-validation	transaction-v1-c42466aae33658b2093d65ac366535b09a8b906454b2d1feaf6d3f4a873ef651	src/fallback/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf16be_to_utf32_with_errors_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/special_tests.cpp;tests/to_well_formed_utf16_tests.cpp;tests/validate_utf16be_basic_tests.cpp;tests/validate_utf16be_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/misc.cpp;fuzz/roundtrip.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ValidateUTF16BE)	not_applicable: no validate_utf16be occurrence under benchmarks at pinned tree
v1	rk-v1-55f826b04d8bbbc821d5ede4c30459a30f115e30782db16a8f89b91d1f2a40d5	7	2	2	ValidateUTF16LEWithErrors	func ValidateUTF16LEWithErrors(input []uint16) Result	FC-v1-helper-validation	family-v1-92973bf401c179901da0be0973536be41700aa56a57924dd26368bfc7e539c35	1	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	38323a726b2d76312d35356638323662303464386262626338323164356564653463333034353961333066313135653330373832646231366138663839623931643166326134306435006e6f6e65006e6f6e650000	SB-v1-FC-v1-helper-validation-01	batch-v1-195fe8f6157a3ad9aa588de2beb4356c2783ce237692e27a30fc6f3ae9d50ce8	AP-v1-FC-v1-helper-validation	transaction-v1-c42466aae33658b2093d65ac366535b09a8b906454b2d1feaf6d3f4a873ef651	src/fallback/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf16le_to_latin1_tests_with_errors.cpp;tests/convert_utf16le_to_utf32_with_errors_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/validate_utf16le_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ValidateUTF16LEWithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h
v1	rk-v1-34e8babc50eba5d4c910fc6e9269e486d874d1d99cea1cbc37eaf51751d2b8e3	8	3	3	ValidateUTF16BEWithErrors	func ValidateUTF16BEWithErrors(input []uint16) Result	FC-v1-helper-validation	family-v1-92973bf401c179901da0be0973536be41700aa56a57924dd26368bfc7e539c35	1	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	38323a726b2d76312d33346538626162633530656261356434633931306663366539323639653438366438373464316439396365613163626333376561663531373531643262386533006e6f6e65006e6f6e650000	SB-v1-FC-v1-helper-validation-01	batch-v1-195fe8f6157a3ad9aa588de2beb4356c2783ce237692e27a30fc6f3ae9d50ce8	AP-v1-FC-v1-helper-validation	transaction-v1-c42466aae33658b2093d65ac366535b09a8b906454b2d1feaf6d3f4a873ef651	src/fallback/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf16be_to_utf32_with_errors_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/validate_utf16be_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ValidateUTF16BEWithErrors)	not_applicable: no validate_utf16be_with_errors occurrence under benchmarks at pinned tree
v1	rk-v1-fa4941b5d09f0fc5d20e089cf7dee9c8e5b31b949b42bb594a246fc8d4f806d9	9	4	4	ToWellFormedUTF16LE	func ToWellFormedUTF16LE(input, dst []uint16)	FC-v1-helper-validation	family-v1-92973bf401c179901da0be0973536be41700aa56a57924dd26368bfc7e539c35	1	op-v1-9a03658c5a22f236d7c1ed6a8e4dd239f57ce39a454a43d6890cf3e1212f178a	38323a726b2d76312d66613439343162356430396630666335643230653038396366376465653963386535623331623934396234326262353934613234366663386434663830366439006e6f6e65006e6f6e650000	SB-v1-FC-v1-helper-validation-01	batch-v1-195fe8f6157a3ad9aa588de2beb4356c2783ce237692e27a30fc6f3ae9d50ce8	AP-v1-FC-v1-helper-validation	transaction-v1-c42466aae33658b2093d65ac366535b09a8b906454b2d1feaf6d3f4a873ef651	src/fallback/implementation.cpp	tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/helpers/compiletime_conversions.h;tests/to_well_formed_utf16_tests.cpp	fuzz/misc.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ToWellFormedUTF16LE)	benchmarks/benchmark_to_well_formed_utf16.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h
v1	rk-v1-8a9d078d2fb7ab56a36f41071ed71d96b4fe16b4d712078637a5f48c3ed5045d	10	5	5	ToWellFormedUTF16BE	func ToWellFormedUTF16BE(input, dst []uint16)	FC-v1-helper-validation	family-v1-92973bf401c179901da0be0973536be41700aa56a57924dd26368bfc7e539c35	1	op-v1-9a03658c5a22f236d7c1ed6a8e4dd239f57ce39a454a43d6890cf3e1212f178a	38323a726b2d76312d38613964303738643266623761623536613336663431303731656437316439366234666531366234643731323037383633376135663438633365643530343564006e6f6e65006e6f6e650000	SB-v1-FC-v1-helper-validation-01	batch-v1-195fe8f6157a3ad9aa588de2beb4356c2783ce237692e27a30fc6f3ae9d50ce8	AP-v1-FC-v1-helper-validation	transaction-v1-c42466aae33658b2093d65ac366535b09a8b906454b2d1feaf6d3f4a873ef651	src/fallback/implementation.cpp	tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/helpers/compiletime_conversions.h;tests/to_well_formed_utf16_tests.cpp	fuzz/misc.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ToWellFormedUTF16BE)	not_applicable: no to_well_formed_utf16be occurrence under benchmarks at pinned tree
v1	rk-v1-a582c3ac7b835ea738ec32f2f84d7ab1ea6b15b0c37abc2fccc381312b1c7fd4	12	6	6	ValidateUTF32	func ValidateUTF32(input []uint32) bool	FC-v1-helper-validation	family-v1-92973bf401c179901da0be0973536be41700aa56a57924dd26368bfc7e539c35	1	op-v1-fcf3c75ef3a8f35fde8f3d10682e337ae82354741896c312930200ba84199588	38323a726b2d76312d61353832633361633762383335656137333865633332663266383464376162316561366231356230633337616263326663636333383133313262316337666434006e6f6e65006e6f6e650000	SB-v1-FC-v1-helper-validation-01	batch-v1-195fe8f6157a3ad9aa588de2beb4356c2783ce237692e27a30fc6f3ae9d50ce8	AP-v1-FC-v1-helper-validation	transaction-v1-c42466aae33658b2093d65ac366535b09a8b906454b2d1feaf6d3f4a873ef651	src/fallback/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf32_to_latin1_tests.cpp;tests/convert_utf32_to_utf16be_with_errors_tests.cpp;tests/convert_utf32_to_utf16le_with_errors_tests.cpp;tests/convert_utf32_to_utf8_with_errors_tests.cpp;tests/helpers/transcode_test_base.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/reference/CMakeLists.txt;tests/reference/validate_utf32.cpp;tests/reference/validate_utf32.h;tests/reference/validate_utf32_to_latin1.cpp;tests/reference/validate_utf32_to_latin1.h;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/special_tests.cpp;tests/validate_utf32_basic_tests.cpp;tests/validate_utf32_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_utf_32_test.go (planned direct scalar-differential target for ValidateUTF32)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h
v1	rk-v1-510cb2e89abfbdf685b739d49e1d16b73c0196ab875e6038daa1130ccc4d872a	13	7	7	ValidateUTF32WithErrors	func ValidateUTF32WithErrors(input []uint32) Result	FC-v1-helper-validation	family-v1-92973bf401c179901da0be0973536be41700aa56a57924dd26368bfc7e539c35	1	op-v1-fcf3c75ef3a8f35fde8f3d10682e337ae82354741896c312930200ba84199588	38323a726b2d76312d35313063623265383961626662646636383562373339643439653164313662373363303139366162383735653630333864616131313330636363346438373261006e6f6e65006e6f6e650000	SB-v1-FC-v1-helper-validation-01	batch-v1-195fe8f6157a3ad9aa588de2beb4356c2783ce237692e27a30fc6f3ae9d50ce8	AP-v1-FC-v1-helper-validation	transaction-v1-c42466aae33658b2093d65ac366535b09a8b906454b2d1feaf6d3f4a873ef651	src/fallback/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf32_to_utf16be_with_errors_tests.cpp;tests/convert_utf32_to_utf16le_with_errors_tests.cpp;tests/convert_utf32_to_utf8_with_errors_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/validate_utf32_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz_utf_32_test.go (planned direct scalar-differential target for ValidateUTF32WithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h
v1	rk-v1-47f5dfd270841a1944b531421099b8caea100012bf1eec46019a79b3e8bc74b4	6	8	8	ValidateUTF16WithErrors	func ValidateUTF16WithErrors(input []uint16) Result	FC-v1-helper-validation	family-v1-92973bf401c179901da0be0973536be41700aa56a57924dd26368bfc7e539c35	1	op-v1-746f2ddb034fd6031f7480dc27f8384c48b313010cdf7ce853d620b940e70a90	3138383a726b2d76312d3437663564666432373038343161313934346235333134323130393962386361656131303030313262663165656334363031396137396233653862633734623400777261707065725f64656c656761746500726f7700726b2d76312d333465386261626335306562613564346339313066633665393236396534383664383734643164393963656131636263333765616635313735316432623865330056616c696461746555544631364245576974684572726f72733138383a726b2d76312d3437663564666432373038343161313934346235333134323130393962386361656131303030313262663165656334363031396137396233653862633734623400777261707065725f64656c656761746500726f7700726b2d76312d353566383236623034643862626263383231643565646534633330343539613330663131356533303738326462313661386638396239316431663261343064350056616c696461746555544631364c45576974684572726f7273	SB-v1-FC-v1-helper-validation-01	batch-v1-195fe8f6157a3ad9aa588de2beb4356c2783ce237692e27a30fc6f3ae9d50ce8	AP-v1-FC-v1-helper-validation	transaction-v1-c42466aae33658b2093d65ac366535b09a8b906454b2d1feaf6d3f4a873ef651	include/simdutf/implementation.h:576; native-endian delegate to simdutf::validate_utf16le_with_errors or simdutf::validate_utf16be_with_errors	tests/simdutf_c_tests.cpp;tests/validate_utf16be_with_errors_tests.cpp;tests/validate_utf16le_with_errors_tests.cpp	not_applicable: no validate_utf16_with_errors occurrence under fuzz at pinned tree	not_applicable: no validate_utf16_with_errors occurrence under benchmarks at pinned tree
v1	rk-v1-991029ba6b52152f9a1571ba06b800a76de5a02e83c4f62d10c9998125426e33	11	9	9	ToWellFormedUTF16	func ToWellFormedUTF16(input, dst []uint16)	FC-v1-helper-validation	family-v1-92973bf401c179901da0be0973536be41700aa56a57924dd26368bfc7e539c35	1	op-v1-9a03658c5a22f236d7c1ed6a8e4dd239f57ce39a454a43d6890cf3e1212f178a	3138323a726b2d76312d3939313032396261366235323135326639613135373162613036623830306137366465356130326538336334663632643130633939393831323534323665333300777261707065725f64656c656761746500726f7700726b2d76312d3861396430373864326662376162353661333666343130373165643731643936623466653136623464373132303738363337613566343863336564353034356400546f57656c6c466f726d6564555446313642453138323a726b2d76312d3939313032396261366235323135326639613135373162613036623830306137366465356130326538336334663632643130633939393831323534323665333300777261707065725f64656c656761746500726f7700726b2d76312d6661343934316235643039663066633564323065303839636637646565396338653562333162393439623432626235393461323436666338643466383036643900546f57656c6c466f726d656455544631364c45	SB-v1-FC-v1-helper-validation-01	batch-v1-195fe8f6157a3ad9aa588de2beb4356c2783ce237692e27a30fc6f3ae9d50ce8	AP-v1-FC-v1-helper-validation	transaction-v1-c42466aae33658b2093d65ac366535b09a8b906454b2d1feaf6d3f4a873ef651	include/simdutf/implementation.h:731; native-endian delegate to simdutf::to_well_formed_utf16le or simdutf::to_well_formed_utf16be	tests/CMakeLists.txt;tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/helpers/compiletime_conversions.h;tests/simdutf_c_tests.cpp;tests/to_well_formed_utf16_tests.cpp	fuzz/misc.cpp	benchmarks/CMakeLists.txt;benchmarks/benchmark_to_well_formed_utf16.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h
